,pessoa_id,pessoa_idade,salario_ano,propriedade_sit,ano_trabalhado,motivo_emprestimo,pontuacao_emprestimos,vl_total,tx_juros,inadimplencia,tx_renda_divida,hst_inadimplencia,hst_primeiro_credito
1,4tD36gcw-IrsA,31.0,35000.0,1,2.0,1,2,10225.0,9.99,0.0,0.29,0.0,6
2,08iwXXZl-5U5x,22.0,14400.0,2,0.0,2,2,2100.0,11.14,0.0,0.15,0.0,4
3,0PtiPv5h-nd0L,21.0,47580.0,1,5.0,3,1,14000.0,6.03,0.0,0.29,0.0,2
4,3QKc0Idh-OAkE,33.0,115000.0,1,10.0,4,2,25000.0,11.86,0.0,0.22,0.0,8
5,4pBttOeX-iIyY,41.0,30000.0,3,3.0,2,1,8875.0,5.42,0.0,0.3,0.0,16
6,2zweDZ7e-CAjp,52.0,52000.0,1,1.0,4,1,17000.0,7.88,1.0,0.33,0.0,18
7,2qnz5ILt-bIZi,24.0,40000.0,3,8.0,4,2,2800.0,10.25,0.0,0.07,0.0,2
8,2W6UAxn7-S04Z,22.0,45000.0,1,2.0,3,4,8000.0,16.49,0.0,0.18,1.0,4
9,0Sdgf36Z-auBI,22.0,30000.0,2,6.0,3,1,2500.0,7.29,0.0,0.08,0.0,3
10,0GgMo1zw-XYHR,29.0,26000.0,2,5.0,5,2,4500.0,11.71,0.0,0.17,0.0,5
11,2F5TaIcg-lSPI,23.0,57000.0,2,7.0,3,2,4200.0,10.51,0.0,0.07,0.0,4
12,3XJ8L2da-dwdt,29.0,75000.0,3,0.0,2,3,17200.0,14.27,0.0,0.23,1.0,8
13,5DCUXUXL-U5lS,30.0,66000.0,1,14.0,3,3,11200.0,13.49,1.0,0.17,0.0,9
14,44rk5bJh-ky6d,33.0,46800.0,3,9.0,4,3,2000.0,14.65,0.0,0.04,0.0,6
16,2LtHXCaZ-v38v,51.0,76960.0,1,0.0,2,2,15000.0,9.99,0.0,0.19,0.0,20
17,5H4AlZWb-k953,23.0,11000.0,2,0.0,2,1,1400.0,9.32,0.0,0.13,0.0,3
18,3Bstfqhr-M0U0,24.0,47000.0,1,3.0,6,2,12000.0,12.21,0.0,0.26,0.0,4
19,3M4XTID4-9GvH,37.0,65000.0,3,7.0,6,3,12000.0,13.98,0.0,0.18,0.0,12
20,1RWvTfST-gQmz,24.0,33000.0,1,3.0,2,5,1250.0,19.29,0.0,0.04,0.0,4
21,0Wlf9Cwp-oOMX,29.0,60000.0,2,1.0,2,2,10000.0,10.99,0.0,0.17,0.0,10
22,516YWbFx-jLCA,30.0,70000.0,1,4.0,4,2,10200.0,12.42,0.0,0.15,0.0,6
23,1a4v89iz-ESyY,28.0,60000.0,3,3.0,4,3,25000.0,13.49,1.0,0.42,0.0,10
24,2QHiyReb-YA0r,26.0,70000.0,3,2.0,1,2,10000.0,9.45,0.0,0.14,0.0,3
25,2ySlYBCB-x0zm,25.0,32400.0,3,1.0,6,4,17500.0,15.95,1.0,0.54,1.0,3
26,54DKPDRv-5qBX,23.0,20664.0,3,4.0,3,3,4550.0,13.72,0.0,0.22,1.0,3
