pessoa_idade;salario_ano;propriedade_sit;ano_trabalhado;motivo_emprestimo;pontuacao_emprestimos;vl_total;tx_juros;inadimplencia;hst_inadimplencia;hst_primeiro_credito;faixa_idade;faixa_emprestimo
31.0;35000.0;Hipotecada;2.0;Pagamento de débitos;B;10225.0;9.99;0.0;0.0;6;4;20
22.0;14400.0;Própria;0.0;Pessoal;B;2100.0;11.14;0.0;0.0;4;2;4
21.0;47580.0;Hipotecada;5.0;Educativo;A;14000.0;6.03;0.0;0.0;2;2;27
33.0;115000.0;Hipotecada;10.0;Médico;B;25000.0;11.86;0.0;0.0;8;4;49
41.0;30000.0;Alugada;3.0;Pessoal;A;8875.0;5.42;0.0;0.0;16;6;17
52.0;52000.0;Hipotecada;1.0;Médico;A;17000.0;7.88;1.0;0.0;18;8;33
24.0;40000.0;Alugada;8.0;Médico;B;2800.0;10.25;0.0;0.0;2;2;5
22.0;45000.0;Hipotecada;2.0;Educativo;D;8000.0;16.49;0.0;1.0;4;2;15
22.0;30000.0;Própria;6.0;Educativo;A;2500.0;7.29;0.0;0.0;3;2;4
29.0;26000.0;Própria;5.0;Empreendimento;B;4500.0;11.71;0.0;0.0;5;3;8
23.0;57000.0;Própria;7.0;Educativo;B;4200.0;10.51;0.0;0.0;4;2;8
29.0;75000.0;Alugada;0.0;Pessoal;C;17200.0;14.27;0.0;1.0;8;3;34
30.0;66000.0;Hipotecada;14.0;Educativo;C;11200.0;13.49;1.0;0.0;9;3;22
33.0;46800.0;Alugada;9.0;Médico;C;2000.0;14.65;0.0;0.0;6;4;3
51.0;76960.0;Hipotecada;0.0;Pessoal;B;15000.0;9.99;0.0;0.0;20;8;29
23.0;11000.0;Própria;0.0;Pessoal;A;1400.0;9.32;0.0;0.0;3;2;2
24.0;47000.0;Hipotecada;3.0;Melhora do lar;B;12000.0;12.21;0.0;0.0;4;2;23
37.0;65000.0;Alugada;7.0;Melhora do lar;C;12000.0;13.98;0.0;0.0;12;5;23
24.0;33000.0;Hipotecada;3.0;Pessoal;E;1250.0;19.29;0.0;0.0;4;2;2
29.0;60000.0;Própria;1.0;Pessoal;B;10000.0;10.99;0.0;0.0;10;3;19
30.0;70000.0;Hipotecada;4.0;Médico;B;10200.0;12.42;0.0;0.0;6;3;20
28.0;60000.0;Alugada;3.0;Médico;C;25000.0;13.49;1.0;0.0;10;3;49
26.0;70000.0;Alugada;2.0;Pagamento de débitos;B;10000.0;9.45;0.0;0.0;3;3;19
25.0;32400.0;Alugada;1.0;Melhora do lar;D;17500.0;15.95;1.0;1.0;3;2;34
23.0;20664.0;Alugada;4.0;Educativo;C;4550.0;13.72;0.0;1.0;3;2;9
25.0;120000.0;Alugada;9.0;Empreendimento;C;4800.0;14.22;0.0;0.0;4;2;9
23.0;75000.0;Hipotecada;5.0;Empreendimento;A;6400.0;5.42;0.0;0.0;3;2;12
25.0;39900.0;Alugada;8.0;Educativo;B;12000.0;9.88;0.0;0.0;4;2;23
26.0;45000.0;Alugada;10.0;Pagamento de débitos;A;15000.0;7.29;1.0;0.0;4;3;29
35.0;58788.0;Hipotecada;8.0;Pagamento de débitos;B;2200.0;11.99;0.0;0.0;6;4;4
35.0;30000.0;Hipotecada;2.0;Educativo;A;3300.0;5.99;0.0;0.0;6;4;6
27.0;42000.0;Alugada;1.0;Pessoal;B;5000.0;10.99;0.0;0.0;10;3;9
34.0;38000.0;Própria;1.0;Melhora do lar;A;10000.0;8.94;0.0;0.0;9;4;19
32.0;131000.0;Hipotecada;2.0;Pagamento de débitos;B;11200.0;10.25;0.0;0.0;5;4;22
43.0;49578.0;Hipotecada;11.0;Pessoal;C;16000.0;13.49;0.0;1.0;13;6;31
47.0;54996.0;Hipotecada;7.0;Médico;B;9000.0;10.38;0.0;0.0;16;7;17
32.0;53000.0;Alugada;0.0;Pagamento de débitos;B;5700.0;9.99;0.0;0.0;9;4;11
24.0;135000.0;Alugada;6.0;Médico;B;14400.0;12.69;0.0;0.0;4;2;28
30.0;98000.0;Hipotecada;8.0;Empreendimento;A;3500.0;7.68;0.0;0.0;10;3;6
22.0;70000.0;Hipotecada;4.0;Empreendimento;B;13750.0;10.75;0.0;0.0;3;2;27
24.0;48000.0;Hipotecada;7.0;Médico;A;12000.0;7.29;0.0;0.0;3;2;23
54.0;79864.0;Hipotecada;5.0;Pessoal;B;1800.0;9.88;0.0;0.0;21;8;3
24.0;30000.0;Alugada;8.0;Médico;B;8000.0;9.25;0.0;0.0;2;2;15
24.0;61000.0;Hipotecada;7.0;Pessoal;D;3000.0;15.62;0.0;0.0;3;2;5
23.0;55000.0;Alugada;2.0;Médico;B;10800.0;8.88;0.0;0.0;2;2;21
21.0;12120.0;Alugada;0.0;Pagamento de débitos;A;3600.0;8.32;1.0;0.0;2;2;7
25.0;51684.0;Hipotecada;9.0;Pessoal;D;4000.0;15.99;0.0;0.0;4;2;7
23.0;65000.0;Alugada;2.0;Pagamento de débitos;B;3600.0;11.49;0.0;0.0;2;2;7
32.0;45000.0;Hipotecada;7.0;Educativo;A;4000.0;7.49;0.0;0.0;5;4;7
26.0;55000.0;Hipotecada;10.0;Empreendimento;C;2800.0;13.49;0.0;0.0;2;3;5
48.0;66000.0;Alugada;6.0;Empreendimento;B;6000.0;11.89;0.0;0.0;11;7;11
37.0;50000.0;Alugada;0.0;Empreendimento;B;5000.0;11.89;0.0;0.0;12;5;9
22.0;62000.0;Hipotecada;2.0;Educativo;A;10000.0;5.99;0.0;0.0;4;2;19
23.0;70550.0;Alugada;3.0;Médico;F;25000.0;19.04;1.0;1.0;4;2;49
30.0;200000.0;Hipotecada;0.0;Médico;A;10000.0;8.59;0.0;0.0;10;3;19
35.0;83234.0;Hipotecada;19.0;Pagamento de débitos;D;10000.0;18.25;1.0;1.0;9;4;19
48.0;185000.0;Hipotecada;2.0;Empreendimento;F;10000.0;20.62;0.0;0.0;14;7;19
21.0;12000.0;Alugada;3.0;Educativo;B;1600.0;10.59;1.0;0.0;2;2;3
25.0;45000.0;Alugada;0.0;Empreendimento;C;10000.0;12.98;0.0;1.0;2;2;19
38.0;64800.0;Alugada;15.0;Pessoal;B;7500.0;9.63;0.0;0.0;11;5;14
40.0;148350.0;Hipotecada;11.0;Empreendimento;A;5000.0;6.03;0.0;0.0;11;5;9
40.0;35000.0;Hipotecada;6.0;Empreendimento;B;5600.0;10.65;0.0;0.0;13;5;11
22.0;95000.0;Hipotecada;1.0;Empreendimento;C;7200.0;12.23;0.0;1.0;4;2;14
33.0;40000.0;Alugada;15.0;Educativo;B;15000.0;9.88;1.0;0.0;9;4;29
24.0;40944.0;Alugada;0.0;Médico;B;8200.0;11.36;0.0;0.0;4;2;16
23.0;160000.0;Hipotecada;5.0;Empreendimento;A;35000.0;7.66;0.0;0.0;3;2;69
28.0;108000.0;Hipotecada;6.0;Pessoal;B;27400.0;10.99;0.0;0.0;8;3;54
25.0;115000.0;Hipotecada;4.0;Empreendimento;C;25000.0;12.53;0.0;1.0;4;2;49
34.0;67000.0;Alugada;7.0;Educativo;B;20000.0;11.71;0.0;0.0;9;4;39
28.0;56052.0;Alugada;8.0;Empreendimento;C;7200.0;11.28;0.0;1.0;8;3;14
